Date,Open,High,Low,Close,Adj Close,Volume
2006-09-25,1.279296,1.282002,1.264398,1.267797,1.267797,0
2006-10-02,1.268006,1.276601,1.257703,1.259192,1.259192,0
2006-10-09,1.259097,1.261400,1.248798,1.250500,1.250500,0
2006-10-16,1.250500,1.264095,1.249204,1.261607,1.261607,0
2006-10-23,1.261193,1.275608,1.252803,1.273107,1.273107,0
2006-10-30,1.273107,1.279394,1.268408,1.271795,1.271795,0
2006-11-06,1.271892,1.292307,1.269358,1.284802,1.284802,0
2006-11-13,1.284703,1.287896,1.276503,1.282298,1.282298,0
2006-11-20,1.282101,1.317697,1.280147,1.315807,1.315807,0
2006-11-27,1.315807,1.336309,1.310101,1.335791,1.335791,0
2006-12-04,1.335541,1.347092,1.275901,1.318705,1.318705,0
2006-12-11,1.318392,1.328904,1.306404,1.308404,1.308404,0
2006-12-18,1.308455,1.324503,1.305602,1.313594,1.313594,0
2006-12-25,1.313698,1.320795,1.309397,1.319801,1.319801,0
2007-01-01,1.319801,1.329398,1.298398,1.300796,1.300796,0
2007-01-08,1.300796,1.304904,1.287101,1.292892,1.292892,0
2007-01-15,1.292892,1.300306,1.290306,1.296294,1.296294,0
2007-01-22,1.296294,1.304393,1.288793,1.292608,1.292608,0
2007-01-29,1.292307,1.304955,1.290006,1.296294,1.296294,0
2007-02-05,1.296294,1.304495,1.290206,1.301998,1.301998,0
2007-02-12,1.301998,1.316898,1.294398,1.314994,1.314994,0
2007-02-19,1.314907,1.318791,1.308507,1.318392,1.318392,0
2007-02-26,1.318200,1.335399,1.314700,1.318600,1.318600,0
2007-03-05,1.318600,1.319400,1.307754,1.313008,1.313008,0
2007-03-12,1.312594,1.334098,1.311252,1.331806,1.331806,0
2007-03-19,1.332001,1.341004,1.326401,1.326594,1.326594,0
2007-03-26,1.326999,1.339656,1.325785,1.335791,1.335791,0
2007-04-02,1.335791,1.344104,1.330106,1.337399,1.337399,0
2007-04-09,1.337399,1.357700,1.334401,1.357607,1.357607,0
2007-04-16,1.357792,1.371704,1.352905,1.360396,1.360396,0
2007-04-23,1.360507,1.367596,1.354793,1.363996,1.363996,0
2007-04-30,1.364107,1.373796,1.345696,1.359804,1.359804,0
2007-05-07,1.359804,1.362695,1.346747,1.353400,1.353400,0
2007-05-14,1.353491,1.361100,1.346493,1.352393,1.352393,0
2007-05-21,1.352503,1.352594,1.341508,1.345098,1.345098,0
2007-05-28,1.345098,409.836060,1.339692,1.344194,1.344194,0
2007-06-04,1.344194,1.354995,1.332996,1.336095,1.336095,0
2007-06-11,1.336202,1.346493,1.326594,1.338401,1.338401,0
2007-06-18,1.338401,1.349491,1.337506,1.346692,1.346692,0
2007-06-25,1.346602,1.355105,1.342102,1.354206,1.354206,0
2007-07-02,1.354298,1.365505,1.353107,1.362899,1.362899,0
2007-07-09,1.362806,1.380891,1.360193,1.377391,1.377391,0
2007-07-16,1.377391,1.384696,1.376500,1.383700,1.383700,0
2007-07-23,1.383604,1.384907,1.338598,1.362806,1.362806,0
2007-07-30,1.363104,1.384006,1.362602,1.381807,1.381807,0
2007-08-06,1.381807,1.383892,1.361192,1.369000,1.369000,0
2007-08-13,1.369094,1.371103,1.338294,1.348709,1.348709,0
2007-08-20,1.348709,1.368701,1.345406,1.367409,1.367409,0
2007-08-27,1.367596,1.372006,1.356502,1.363401,1.363401,0
2007-09-03,1.363401,1.379196,1.355601,1.377809,1.377809,0
2007-09-10,1.380891,1.392409,1.377999,1.386809,1.386809,0
2007-09-17,1.386809,1.411791,1.383394,1.409106,1.409106,0
2007-09-24,1.409106,1.428204,1.406608,1.427002,1.427002,0
2007-10-01,1.427104,1.427593,1.404593,1.415008,1.415008,0
2007-10-08,1.414907,1.423994,1.401699,1.416792,1.416792,0
2007-10-15,1.416892,1.434905,1.414707,1.432993,1.432993,0
2007-10-22,1.433199,1.442793,1.412609,1.441005,1.441005,0
2007-10-29,1.440798,1.452391,1.437794,1.450600,1.450600,0
2007-11-05,1.450600,1.474992,1.445108,1.465695,1.465695,0
2007-11-12,1.465996,1.471995,1.452391,1.467308,1.467308,0
2007-11-19,1.467201,1.495707,1.361304,1.483790,1.483790,0
2007-11-26,1.487608,1.514693,1.462994,1.466297,1.466297,0
2007-12-03,1.466190,1.477105,1.454101,1.465502,1.465502,0
2007-12-10,1.465502,1.474992,1.438601,1.441899,1.441899,0
2007-12-17,1.442003,1.445108,1.431701,1.437897,1.437897,0
2007-12-24,1.438207,1.474404,1.437794,1.473600,1.473600,0
2007-12-31,1.473709,1.481811,1.457301,1.475209,1.475209,0
2008-01-07,1.475209,1.559284,1.464300,1.480604,1.480604,0
2008-01-14,1.480801,1.492003,1.459194,1.459598,1.459598,0
2008-01-21,1.460003,1.477607,1.437298,1.469400,1.469400,0
2008-01-28,1.469292,1.493206,1.466598,1.480494,1.480494,0
2008-02-04,1.480297,1.557099,1.445191,1.452792,1.452792,0
2008-02-11,1.453193,1.470610,1.448604,1.467308,1.467308,0
2008-02-18,1.467610,1.485597,1.461710,1.483305,1.483305,0
2008-02-25,1.483393,1.523810,1.478393,1.520196,1.520196,0
2008-03-03,1.520311,1.558094,1.515289,1.557196,1.557196,0
2008-03-10,1.537988,1.576690,1.528795,1.575696,1.575696,0
2008-03-17,1.574803,1.590306,0.072902,1.540808,1.540808,0
2008-03-24,1.540690,1.585791,1.534590,1.578906,1.578906,0
2008-03-31,1.579305,1.589092,1.551711,1.572896,1.572896,0
2008-04-07,1.572995,1.590306,1.555791,1.572204,1.572204,0
2008-04-14,1.572006,1.597597,1.567890,1.580003,1.580003,0
2008-04-21,1.580403,1.601307,1.556057,1.560208,1.560208,0
2008-04-28,1.560111,1.568800,1.537705,1.543400,1.543400,0
2008-05-05,1.543496,1.559162,1.537090,1.545595,1.545595,0
2008-05-12,1.545595,1.559989,1.537894,1.558191,1.558191,0
